Name;Type;Stereotype;Status;Notes;TagValue_Afkorting;TagValue_Bestandsnaam;TagValue_Bruikbaarheid;TagValue_Doelgroep;TagValue_Jaar;TagValue_Opsteller;TagValue_Status;TagValue_Titel
Portefeuillestrategie;Class;Bron;Proposed;;;2 bijl-1 20160920 RW Portefeuillestrategie 2016-2026 tbv RvC20160704;Bruikbaar;Medewerkers;2016;St&B + P&C;Analyse gereed;Ruimte voor beweging in Amsterdam en Diemen en Ruimte voor evenwicht in Zandvoort
MJB;Class;Bron;Proposed;;;3 bijl-1 20160920 RW MJB 2017-2026 22062016 tbv RvC 20160704;Bruikbaar;Leidinggevenden;2016;St&B + P&C;Analyse gereed;Begroting 2017 Meerjarenbegroting 2017 - 2026
2e kw. Rapp.;Class;Bron;Proposed;;;4 bijl-1 20160920 RW  2016-2Qrapportage De Key dd 20160831 tbv RvC 20160919;Bruikbaar;Leidinggevenden;2016;P&C;Analyse gereed;Tweede kwartaalrapportage 2016
Visie op besturen;Class;Bron;Proposed;;;5 bijl-1 20160920 RW visie op besturen versie 12 mei 2016 schoon;Bruikbaar;Leden RvC;2016;Bestuur;Analyse gereed;Visie op besturen, de relatie bestuur – RvT
Stijl;Class;Bron;Proposed;;;6 bijl-1 Stijl van het huis concept 30-08-2016 tbv DT2016-18;Bruikbaar;Medewerkers;2016;P&O;Analyse gereed;Stijl van het Huis (concept )
Ruimte v B.;Class;Bron;Proposed;;;Ruimte_voor_beweging;Bruikbaar;Medewerkers;2015;Directie;Analyse gereed;Ruimte voor beweging 
BIB2015;Class;Bron;Proposed;;;CONCEPT Beleid Interne Beheersing 2015 d.d. 16-09-2015;Bruikbaar;Medewerkers;2015;A&IB;Analyse gereed;Interne Beheersing De Key Beleid 2015 - 2016
Not.Int.Beh.;Class;Bron;Proposed;;;CONCEPT Notitie Interne Beheersing De Key;Bruikbaar;Medewerkers;2015;A&IB;Analyse gereed;Interne Beheersing De Key
Klachtenafh.;Class;Bron;Proposed;;;De Key klachtenafhandeling (2) goedgekeurd MT Wonen;Bruikbaar;Medewerkers;2015;MT Wonen;Analyse gereed;Klachten zijn welkom
Infoplan;Class;Bron;Proposed;;;Informatieplan De Key - Ruimte voor beweging - Ruimte voor evenwicht;Bruikbaar;Medewerkers;2016;S&B;Analyse gereed;Informatieplan (concept)
Integriteitsbeleid;Class;Bron;Proposed;;;Integriteitsbeleid;Bruikbaar;Medewerkers;2012;P&O;Analyse gereed;Integriteitsbeleid
Compliance;Class;Bron;Proposed;;;Presentatie bij Compliance framework De Key d.d. 25-07-2016;Bruikbaar;Medewerkers;2016;A&IB;Analyse gereed;Compliance framework 
Procesbeschr. 2.0;Class;Bron;Proposed;;;Procesbeschrijvingen 2.0 handboek en pva definitief;Bruikbaar;Medewerkers;2016;A&IB;Analyse gereed;Procesbeschrijvingen 2.0 (directiebesluit augustus 2016)
Risicomgt.;Class;Bron;Proposed;;;Risicomanagement bij woningcorporaties - Wat wil de toezichthouder;Niet relevant;;2015;A&IB;Analyse gereed;Risicomanagment bij woningcorporaties: Wat wil ‘de toezichthouder’?
Zo werkt het ;Class;Bron;Proposed;;;zo werkt het bij de key;Verouderd;Medewerkers;;P&O;Analyse gereed;Zo werkt het bij De Key
Privacy bel.;Class;Bron;Proposed;;;Privacy visie beleid en statement;Bruikbaar;Medewerkers;2016;Directie;Analyse gereed;Privacy: visie & beleid
Procesman.;Class;Bron;Proposed;;;Procesmanagement v1;Bruikbaar;Medewerkers;2016;A&IB;Analyse gereed;Procesmanagement v1 (directiebesluit augustus 2016)
RMStatuut;Class;Bron;Proposed;;;20161007 RM Statuut De Key - concept 0.1;Bruikbaar;Medewerkers;2016;A&IB;Analyse gereed;Risicomanagementstatuut
Infobev.;Class;Bron;Proposed;;;Informatiebeveiligingsbeleid;Bruikbaar;Medewerkers;2016;S&B;Analyse gereed;Informatiebeveiligingsbeleid 2016
Inkoopbel.;Class;Bron;Proposed;;;Inkoopbeleid Woonstichting De Key;Bruikbaar;Medewerkers;2014;BB;Analyse gereed;Inkoopbeleid 
Regl. Fin. Bel.;Class;Bron;Proposed;;;Reglement financieel beleid en beheer De Key v 4.4 ;Bruikbaar;Medewerkers;2016;A&IB;Analyse gereed;Reglement financieel beleid
Bel.Not. Zakenp.;Class;Bron;Proposed;;;Beleidsnotitie Zakenpartnertoets bij desinvesteringen_200815;Bruikbaar;Medewerkers;2015;Vastgoed;Analyse gereed;Beleidsnotitie ‘Zakenpartnertoets bij desinvesteringen’
Protoc. Email, ect.;Class;Bron;Proposed;;;Internet en emailprotocol;Te gedetailleerd;Medewerkers;2010;P&O;Analyse gereed;Bijlage 2: Protocol voor het gebruik van e-mail,Internet en telefoondiensten.
Klokkenluid.reg.;Class;Bron;Proposed;;;Klokkeluidersregeling;Te gedetailleerd;Medewerkers;2010;P&O;Analyse gereed;Bijlage 4: Regeling inzake het omgaan met een vermoeden van een misstand (Klokkenluidersregeling)
Progr.v.Eisen;Class;Bron;Proposed;;;Standaard Programma van Eisen Nieuwbouw def;Bruikbaar;Medewerkers;2015;Maartje Swüste;Analyse gereed;Standaard Programma van Eisen Nieuwbouw
